subset,file_name,width,height,class_name,xmin,ymin,xmax,ymax,xc,yc,w,h,aspect_ratio
train,crazing_1.xml,200,200,crazing,2,2,193,194,97.5,98.0,191,192,0.9947916666666666
train,crazing_10.xml,200,200,crazing,60,20,194,69,127.0,44.5,134,49,2.7346938775510203
train,crazing_10.xml,200,200,crazing,9,84,197,198,103.0,141.0,188,114,1.6491228070175439
train,crazing_100.xml,200,200,crazing,1,10,108,121,54.5,65.5,107,111,0.963963963963964
train,crazing_100.xml,200,200,crazing,35,1,200,83,117.5,42.0,165,82,2.0121951219512195
train,crazing_100.xml,200,200,crazing,120,109,196,198,158.0,153.5,76,89,0.8539325842696629
train,crazing_100.xml,200,200,crazing,8,112,164,190,86.0,151.0,156,78,2.0
train,crazing_101.xml,200,200,crazing,40,12,187,152,113.5,82.0,147,140,1.05
train,crazing_102.xml,200,200,crazing,2,2,144,153,73.0,77.5,142,151,0.9403973509933775
train,crazing_102.xml,200,200,crazing,150,85,199,178,174.5,131.5,49,93,0.5268817204301075
train,crazing_103.xml,200,200,crazing,1,18,130,99,65.5,58.5,129,81,1.5925925925925926
train,crazing_103.xml,200,200,crazing,126,29,198,130,162.0,79.5,72,101,0.7128712871287128
train,crazing_103.xml,200,200,crazing,1,107,86,191,43.5,149.0,85,84,1.0119047619047619
train,crazing_104.xml,200,200,crazing,4,4,110,136,57.0,70.0,106,132,0.803030303030303
train,crazing_104.xml,200,200,crazing,142,10,197,56,169.5,33.0,55,46,1.1956521739130435
train,crazing_104.xml,200,200,crazing,137,42,199,116,168.0,79.0,62,74,0.8378378378378378
train,crazing_104.xml,200,200,patches,78,169,118,200,98.0,184.5,40,31,1.2903225806451613
train,crazing_105.xml,200,200,crazing,4,3,113,134,58.5,68.5,109,131,0.8320610687022901
train,crazing_105.xml,200,200,crazing,133,1,197,149,165.0,75.0,64,148,0.43243243243243246
train,crazing_105.xml,200,200,crazing,59,1,197,45,128.0,23.0,138,44,3.1363636363636362
train,crazing_105.xml,200,200,inclusion,5,91,121,125,63.0,108.0,116,34,3.411764705882353
train,crazing_106.xml,200,200,crazing,1,24,127,101,64.0,62.5,126,77,1.6363636363636365
train,crazing_106.xml,200,200,crazing,16,120,189,156,102.5,138.0,173,36,4.805555555555555
train,crazing_106.xml,200,200,crazing,113,152,177,188,145.0,170.0,64,36,1.7777777777777777
train,crazing_107.xml,200,200,crazing,112,46,199,138,155.5,92.0,87,92,0.9456521739130435
train,crazing_107.xml,200,200,crazing,2,1,105,79,53.5,40.0,103,78,1.3205128205128205
train,crazing_107.xml,200,200,crazing,11,146,127,199,69.0,172.5,116,53,2.188679245283019
train,crazing_108.xml,200,200,crazing,3,21,69,149,36.0,85.0,66,128,0.515625
train,crazing_108.xml,200,200,crazing,90,115,198,193,144.0,154.0,108,78,1.3846153846153846
train,crazing_109.xml,200,200,crazing,77,1,199,42,138.0,21.5,122,41,2.975609756097561
train,crazing_109.xml,200,200,crazing,39,38,198,87,118.5,62.5,159,49,3.2448979591836733
train,crazing_109.xml,200,200,crazing,32,88,145,131,88.5,109.5,113,43,2.627906976744186
train,crazing_11.xml,200,200,crazing,20,68,112,111,66.0,89.5,92,43,2.13953488372093
train,crazing_11.xml,200,200,crazing,85,12,193,70,139.0,41.0,108,58,1.8620689655172413
train,crazing_11.xml,200,200,crazing,62,134,142,184,102.0,159.0,80,50,1.6
train,crazing_110.xml,200,200,crazing,105,18,193,75,149.0,46.5,88,57,1.543859649122807
